Learning Rate	Train Loss	Train Acc.	Train IOU.	Validate Loss	Validate Acc	Validate IOU	
0.000100	0.248454	0.889403	0.818612	0.274059	0.845639	0.793088	
0.000100	0.247684	0.889912	0.821113	0.253225	0.841893	0.780346	
0.000100	0.254349	0.885953	0.812680	0.280109	0.803891	0.741823	
0.000100	0.251131	0.888872	0.817945	0.288730	0.784297	0.725620	
0.000100	0.252457	0.886938	0.818118	0.269812	0.845516	0.780210	
0.000100	0.250089	0.887263	0.815927	0.280055	0.835333	0.776132	
0.000100	0.256032	0.885445	0.814913	0.313309	0.776652	0.716779	
0.000100	0.255573	0.885678	0.811417	0.271014	0.829722	0.767699	
0.000100	0.254518	0.886289	0.815156	0.247349	0.849208	0.790602	
0.000100	0.254955	0.888940	0.817796	0.272182	0.837020	0.770635	
0.000100	0.251599	0.888091	0.814444	0.274850	0.817053	0.759089	
0.000100	0.253902	0.885622	0.814390	0.278641	0.826741	0.771733	
0.000100	0.254273	0.883291	0.808367	0.275500	0.869847	0.794142	
0.000100	0.246851	0.891602	0.823759	0.281545	0.784345	0.722736	
0.000100	0.253470	0.888471	0.816479	0.273021	0.851348	0.796762	
0.000100	0.248892	0.886503	0.813054	0.279641	0.824260	0.766655	
0.000100	0.247447	0.890898	0.822149	0.262028	0.856560	0.795315	
0.000100	0.251993	0.891070	0.818572	0.277849	0.845091	0.789279	
0.000100	0.247683	0.888389	0.818202	0.257880	0.839755	0.786187	
0.000100	0.247784	0.887797	0.815893	0.280200	0.867107	0.806682	
0.000100	0.250450	0.890607	0.817685	0.263831	0.830688	0.772478	
0.000100	0.254932	0.888812	0.817327	0.262760	0.857096	0.796263	
0.000100	0.255305	0.885389	0.813401	0.271065	0.848376	0.789544	
0.000100	0.247864	0.890685	0.819453	0.260129	0.840358	0.783151	
0.000100	0.250412	0.890004	0.817374	0.308489	0.761349	0.698532	
0.000100	0.256429	0.886303	0.811549	0.284573	0.795429	0.741423	
0.000100	0.251865	0.886367	0.811626	0.253783	0.846351	0.791229	
0.000100	0.247238	0.890869	0.819711	0.271365	0.868344	0.798199	
0.000100	0.249953	0.889812	0.820290	0.283950	0.795245	0.734650	
0.000100	0.250687	0.889351	0.819075	0.276057	0.823133	0.763734	
0.000100	0.260392	0.886088	0.814360	0.263762	0.851125	0.787822	
0.000100	0.252326	0.888230	0.818083	0.268795	0.857768	0.797391	
0.000100	0.255082	0.889172	0.813044	0.285424	0.817075	0.756501	
0.000100	0.252564	0.890000	0.819691	0.257594	0.875471	0.806111	
0.000100	0.250257	0.885048	0.809006	0.284924	0.808942	0.747789	
0.000100	0.257803	0.886479	0.814588	0.281175	0.791654	0.731495	
0.000100	0.248558	0.888591	0.814520	0.261523	0.853717	0.793128	
0.000100	0.253728	0.887776	0.815943	0.274741	0.862756	0.797551	
0.000100	0.258895	0.887166	0.812806	0.281632	0.881610	0.791374	
0.000100	0.251566	0.888891	0.820129	0.260239	0.851246	0.796043	
0.000100	0.249708	0.890406	0.816694	0.271562	0.827507	0.772913	
0.000100	0.251116	0.890367	0.820734	0.271421	0.860432	0.803929	
0.000100	0.250932	0.888480	0.816890	0.261511	0.826670	0.769951	
0.000100	0.249358	0.890699	0.822014	0.269873	0.830350	0.768784	
0.000100	0.247054	0.887749	0.818181	0.301607	0.755173	0.693906	
0.000100	0.249849	0.891576	0.822869	0.266582	0.836231	0.779003	
0.000100	0.247031	0.890103	0.818580	0.264902	0.859204	0.801380	
0.000100	0.245635	0.889079	0.816694	0.275815	0.802641	0.743909	
0.000100	0.252361	0.886225	0.816208	0.263005	0.834084	0.776421	
0.000100	0.250080	0.889701	0.821654	0.286936	0.798473	0.744964	
0.000100	0.248027	0.888319	0.815682	0.262316	0.835597	0.778478	
0.000100	0.250789	0.888549	0.818047	0.260161	0.831586	0.772585	
0.000100	0.250482	0.887450	0.814116	0.284403	0.780691	0.720974	
0.000100	0.257269	0.888275	0.813328	0.285153	0.811624	0.752415	
0.000100	0.250111	0.888297	0.814957	0.265203	0.821728	0.768165	
0.000100	0.245861	0.890839	0.817940	0.277288	0.836425	0.783327	
0.000100	0.250218	0.888254	0.818205	0.254136	0.856962	0.799734	
0.000100	0.247650	0.890053	0.817182	0.275301	0.862237	0.786107	
